Event,Team number,Width,Length,Weight,Drivetrain,Other Drivetrain,Swerve Ratio,Drivetrain Motor,Batteries,Pickup Floor Coral,Pickup Floor Algae,How To Feed Robot,Autos,Scouting Method,comment
2025nytr,5528,30,33,115,Swerve,,3,Neo,7,N,Y,Horizontal,2 L4,pit & field scouting ,
2025nytr,3550,32,32,110,Swerve,,3,Kraken,10,Y,Y,Vertical,1-2L4,pit & field scouting ,
2025nytr,6401,35.5,30.5,98,Swerve,,4,Neo,3,N,N,Vertical,taxi for ranking point,"pit scouting, maybe field. Google form",no algae about a week with driver practice
2025nytr,4122,32,27,112,Swerve,,4,Kraken,6,N,Y,Vertical,2.5 l4,pit field custom app,
2025nytr,3950,36.75,31.175,115,Swerve,,2,Kraken,9,N,N,Vertical,3 l4,pit field scouting pass,fast auto align
2025nytr,3044,34.5,34.5,114,Swerve,,4,Neo,10,N,N,Vertical,3 L4,pit & field scouting,ability to deep climb
2025nytr,9624,30,30,130,Swerve,,4,Neo,10,N,Y,Vertical,2 l4,custom,
2025nytr,10352,31,31,95,Tank,,x,CIM,7,N,N,Horizontal,l1,no scouting,
2025nytr,2791,33,33,125,Swerve,,o,Neo,11,N,N,Vertical,1 l4,QR scout field scout,4.61:1 drive 12:1 steering
2025nytr,1126,36,36,125,Swerve,,3,Neo,14,N,N,Vertical,1 l4,scouting pass pit and field,deep climb 
2025nytr,578,31.5,31.5,120,Swerve,,x,Kraken,6,N,N,Horizontal,leave,pit field custom,no one down here knows the swerve ratio
2025nytr,578,31.5,31.5,120,Swerve,,x,Kraken,6,N,N,Horizontal,leave,pit field custom,no one down here knows the swerve ratio
2025nytr,639,36.5,63.5,129,Swerve,,4,Kraken,9,N,Y,Vertical,1 l4,pit field paper,
2025nytr,810,36,36,124.3,Swerve,,3,Kraken,6,N,Y,Vertical,2 l4,pit field google form,park
2025nytr,6621,31,32,146,Swerve,,2,Kraken,5,N,N,Vertical,3 coral auto And goes to coral station,ipads,
2025nytr,6806,33,33,114,Swerve,,2,Kraken,8,N,N,Vertical,score one coral an take off ab algae,Google sheets,has an  AUTO THAT takes the other robot s out of the sharing area
2025nytr,6911,38.5,33.5,125,Swerve,,3,Kraken,18,N,Y,Vertical,3 l4right maye working left,ipads,
2025nytr,6463,28,28,112,Swerve,,4,Kraken,20,N,N,Vertical,maybe have one but can move from starting area,sheets,
2025nytr,7718,28.5,28.5,116,Swerve,,4,Kraken,12,N,N,Vertical,move forward more autos broke,sheets ,6463 sister team
2025nytr,1518,27,37,130,Swerve,,2,Falcon,10,N,Y,Either,l1 1 piece,,
2025nytr,1796,30,33,128,,,4,Kraken,,N,Y,Either,two 4 piece,custom,
2025nytr,1880,31,31,129,Swerve,,3,Kraken,9,N,N,Vertical,1 piece,googke forms,
2025nytr,2869,37.5,35.5,120,Swerve,,o,Kraken,7,N,N,Vertical,3 piece,scouting pass,L2 and a half
2025nytr,3003,25,25.5,127,Swerve,,2,Neo,20,N,Y,Vertical,1 piece from any anywhere 2 piece from fa left and right,crawler,
2025nytr,3117,37,32,126,Swerve,,1,Neo,7,N,N,Either,leave,purple warehouse,
2025nytr,3360,32,32,120,Swerve,,o,Kraken,14,N,N,Either,1 piece,rld scout,
2025nytr,3171,32,32,130,Swerve,,2,Neo,8,N,N,Either,1 piece l4,rld imput,
2025nytr,1591,31,31,129,Swerve,,3,Kraken,16,N,N,Vertical,3 piece,website ,
2025nytr,2053,35,35,114.8,Swerve,,3,Kraken,8,N,N,Vertical,possible 3peice,qr scout,"L2, "
2025nytr,2601,30,30,108,Swerve,,3,Kraken,8,N,N,Either,2 peice,custom,
2025nytr,7759,30,30,80,Swerve,,3,Neo,5,N,N,Vertical,L3/L2 but not tested,none,
2025nytr,7605,38,34,112.5,Swerve,,2,Kraken,8,N,N,Vertical,two corals L4,app for scouting,weigh without bumpers
2025nytr,4458,32,30,112,Swerve,,1,Neo,9,N,N,Vertical,"2 L4, 1 load in","pits scouting,app",weight without bumpers
2025nytr,191,35,35,114,Swerve,,3,Kraken,7,N,Y,Either,3 L4,app,weight without bumpers
2025nytr,229,32,27,107,Tank,,x,Neo,,N,Y,Vertical,taxi,none,
2025nytr,424,27,27,114,Swerve,,3,Kraken,7,N,N,Horizontal,"2 peice : one alge, one L1",slack,weight and length/width without bumpers
2025nytr,20,29.5,29.5,114.5,Swerve,,o,Kraken,12,N,Y,Either,2 L4,app,weight length width without bumpers 
2025nytr,250,30,30,104,Swerve,,2,Neo,6,N,N,Vertical,taxi,paper,width length weight without bumpers 
2025nytr,8067,28,30,112,Swerve,,1,Kraken,10,Y,N,Vertical,two L4,excel sheet,without bumpers 
2025nytr,7504,34,34,111,Swerve,,4,Neo,6,N,N,Horizontal,taxi ,Google form,
2025nytr,7031,29,29,113,Swerve,,2,Neo,9,N,Y,Vertical,1 coral on reef,none,no bumpers
2025nytr,7030,27,30,80,Swerve,,o,Neo,6,N,N,Horizontal,none,none,no bumpers 
2025nytr,6300,34,31,108,Swerve,,2,Kraken,8,N,N,Vertical,L2 L3,none,
2025nytr,5149,24,36,90,Tank,,x,Neo,4,N,Y,Vertical,drive out ,none,without bumpers 
2025nytr,334,28.5,28.5,114.3,Swerve,,2,Kraken,8,Y,Y,Other,taxi ,app,without bumpers 
2025nytr,358,29,29,83.1,Swerve,,3,Kraken,8,N,N,Vertical,one L4,app,without bumpers
2025nytr,9468,35,35,138,Swerve,,2,Neo,5,N,N,Either,Leave off line,pit and field,
2025nytr,870,31,32,131,Swerve,,1,Kraken,8,N,Y,Vertical,3 L4 or 2 algae net or push teammates off line,pit and field,
2025nytr,3173,26,26,130,Swerve,,1,Kraken,12,N,N,Vertical,3 piece ,scouting pass,best team ngl
2025nytr,6648,37,50,86,Tank,,3,Neo,6,N,N,Vertical,can move ,pen and paper,deep climb
2025nytr,10714,36,32,81,Tank,,x,CIM,4,N,N,Either,1 piece,no,
2025nytr,4571,34,34,130,Swerve,,4,Kraken,10,N,N,Vertical,might be able to score l4,forms,takes im algea 
2025nytr,3181,34,34,116,Swerve,,3,Neo,9,N,N,Vertical,3 piece,custom,
2025nytr,5881,27,27,98,Swerve,,1,Neo,8,N,N,Vertical,L1,,
2025nytr,1493,27,27,112,S3 l4 both sides,No scouting,
