Event,Match #,Alliance,Total Score,Auto Total Score,Taxi Score,Auto Speaker Scores,Auto Amp Scores,Teleop Total Note Score,Teleop Unamped Speaker Score,Teleop Amped Speaker Score,Teleop Amp Score,Total Stage Score,Final Status Score,Trap Score,Harmony Score,Total Foul Score,Fouls Score,Tech Fouls Score
2024flwp,1,red,22,9,4,5,0,5,4,0,1,3,3,0,0,5,0,5
2024flwp,1,blue,41,14,4,10,0,17,16,0,1,5,5,0,0,5,0,5
2024flwp,2,red,7,2,2,0,0,0,0,0,0,0,0,0,0,5,0,5
2024flwp,2,blue,75,17,2,15,0,17,16,0,1,4,4,0,0,37,2,35
2024flwp,3,red,28,4,4,0,0,22,22,0,0,2,2,0,0,0,0,0
2024flwp,3,blue,58,19,4,15,0,34,16,10,8,5,5,0,0,0,0,0
2024flwp,4,red,61,29,4,25,0,27,12,10,5,5,5,0,0,0,0,0
2024flwp,4,blue,41,19,4,15,0,8,8,0,0,4,4,0,0,10,0,10
2024flwp,5,red,28,12,2,10,0,11,10,0,1,5,5,0,0,0,0,0
2024flwp,5,blue,40,7,2,5,0,26,24,0,2,2,2,0,0,5,0,5
2024flwp,6,red,45,22,2,20,0,16,6,5,5,7,7,0,0,0,0,0
2024flwp,6,blue,36,9,4,5,0,22,14,5,3,5,5,0,0,0,0,0
2024flwp,7,red,19,0,0,0,0,13,12,0,1,1,1,0,0,5,0,5
2024flwp,7,blue,75,21,6,15,0,29,16,10,3,5,5,0,0,20,0,20
2024flwp,8,red,58,15,0,15,0,31,18,10,3,2,2,0,0,10,0,10
2024flwp,8,blue,55,24,4,20,0,28,26,0,2,3,3,0,0,0,0,0
2024flwp,9,red,26,11,6,5,0,13,4,5,4,2,2,0,0,0,0,0
2024flwp,9,blue,31,9,4,5,0,20,18,0,2,2,2,0,0,0,0,0
2024flwp,10,red,25,14,4,10,0,10,6,0,4,1,1,0,0,0,0,0
2024flwp,10,blue,28,17,2,15,0,3,0,0,3,3,3,0,0,5,0,5
2024flwp,11,red,20,14,4,10,0,3,2,0,1,3,3,0,0,0,0,0
2024flwp,11,blue,35,22,2,20,0,10,10,0,0,3,3,0,0,0,0,0
2024flwp,12,red,22,2,2,0,0,15,12,0,3,5,5,0,0,0,0,0
2024flwp,12,blue,26,7,2,5,0,8,8,0,0,2,2,0,0,9,4,5
2024flwp,13,red,55,24,4,20,0,28,8,15,5,3,3,0,0,0,0,0
2024flwp,13,blue,41,24,4,20,0,14,6,5,3,3,3,0,0,0,0,0
2024flwp,14,red,41,24,4,20,0,12,10,0,2,5,5,0,0,0,0,0
2024flwp,14,blue,38,11,6,5,0,22,20,0,2,5,5,0,0,0,0,0
2024flwp,15,red,27,9,4,5,0,12,12,0,0,1,1,0,0,5,0,5
2024flwp,15,blue,29,19,4,15,0,9,6,0,3,1,1,0,0,0,0,0
2024flwp,16,red,35,9,4,5,0,14,14,0,0,5,5,0,0,7,2,5
2024flwp,16,blue,56,14,4,10,0,27,20,5,2,5,5,0,0,10,0,10
2024flwp,17,red,48,12,2,10,0,19,18,0,1,5,5,0,0,12,2,10
2024flwp,17,blue,20,2,2,0,0,18,18,0,0,0,0,0,0,0,0,0
2024flwp,18,red,38,17,2,15,0,17,16,0,1,4,4,0,0,0,0,0
2024flwp,18,blue,58,19,4,15,0,32,18,10,4,7,7,0,0,0,0,0
2024flwp,19,red,27,4,4,0,0,16,14,0,2,3,3,0,0,4,4,0
2024flwp,19,blue,73,24,4,20,0,38,8,25,5,1,1,0,0,10,0,10
2024flwp,20,red,54,22,2,20,0,22,22,0,0,10,5,5,0,0,0,0
2024flwp,20,blue,28,2,2,0,0,12,12,0,0,4,4,0,0,10,0,10
2024flwp,21,red,39,12,2,10,0,20,6,10,4,5,5,0,0,2,2,0
2024flwp,21,blue,37,24,4,20,0,13,12,0,1,0,0,0,0,0,0,0
2024flwp,22,red,51,14,4,10,0,23,16,5,2,7,7,0,0,7,2,5
2024flwp,22,blue,27,4,4,0,0,12,12,0,0,6,6,0,0,5,0,5
2024flwp,23,red,28,9,4,5,0,14,14,0,0,3,3,0,0,2,2,0
2024flwp,23,blue,43,7,2,5,0,34,20,10,4,2,2,0,0,0,0,0
2024flwp,24,red,65,17,2,15,0,28,20,5,3,10,10,0,0,10,0,10
2024flwp,24,blue,13,7,2,5,0,3,0,0,3,1,1,0,0,2,2,0
2024flwp,25,red,48,6,6,0,0,37,28,5,4,5,5,0,0,0,0,0
2024flwp,25,blue,49,24,4,20,0,23,10,10,3,2,2,0,0,0,0,0
2024flwp,26,red,69,34,4,30,0,19,12,5,2,6,6,0,0,10,0,10
2024flwp,26,blue,21,7,2,5,0,12,4,5,3,2,2,0,0,0,0,0
2024flwp,27,red,53,11,6,5,0,20,18,0,2,12,7,5,0,10,0,10
2024flwp,27,blue,40,12,2,10,0,21,2,15,4,2,2,0,0,5,0,5
2024flwp,28,red,8,2,2,0,0,4,4,0,0,2,2,0,0,0,0,0
2024flwp,28,blue,80,19,4,15,0,44,12,25,7,7,7,0,0,10,0,10
2024flwp,29,red,22,2,2,0,0,16,16,0,0,2,2,0,0,2,2,0
2024flwp,29,blue,43,7,2,5,0,28,8,15,5,4,4,0,0,4,4,0
2024flwp,30,red,54,17,2,15,0,29,28,0,1,3,3,0,0,5,0,5
2024flwp,30,blue,50,4,4,0,0,28,20,5,3,8,8,0,0,10,0,10
2024flwp,31,red,63,14,4,10,0,38,16,15,7,11,9,0,2,0,0,0
2024flwp,31,blue,37,7,2,5,0,23,20,0,3,2,2,0,0,5,0,5
2024flwp,32,red,66,19,4,15,0,41,28,10,3,4,4,0,0,2,2,0
2024flwp,32,blue,22,7,2,5,0,10,10,0,0,5,5,0,0,0,0,0
2024flwp,33,red,35,7,2,5,0,20,20,0,0,3,3,0,0,5,0,5
2024flwp,33,blue,60,29,4,25,0,17,16,0,1,4,4,0,0,10,0,10
2024flwp,34,red,10,4,4,0,0,4,4,0,0,2,2,0,0,0,0,0
2024flwp,34,blue,62,9,4,5,0,44,24,15,5,5,5,0,0,4,4,0
2024flwp,35,red,34,9,4,5,0,21,6,10,5,4,4,0,0,0,0,0
2024flwp,35,blue,41,14,4,10,0,26,12,10,4,1,1,0,0,0,0,0
2024flwp,36,red,52,12,2,10,0,27,26,0,1,3,3,0,0,10,0,10
2024flwp,36,blue,34,17,2,15,0,13,12,0,1,4,4,0,0,0,0,0
2024flwp,37,red,43,22,2,20,0,10,8,0,2,6,6,0,0,5,0,5
2024flwp,37,blue,35,10,0,10,0,14,14,0,0,4,4,0,0,7,2,5
2024flwp,38,red,27,5,0,5,0,8,8,0,0,5,5,0,0,9,4,5
2024flwp,38,blue,58,31,6,25,0,20,10,5,5,5,5,0,0,2,2,0
2024flwp,39,red,43,19,4,15,0,18,10,5,3,6,6,0,0,0,0,0
2024flwp,39,blue,44,12,2,10,0,28,28,0,0,4,4,0,0,0,0,0
2024flwp,40,red,47,9,4,5,0,30,18,5,7,8,8,0,0,0,0,0
2024flwp,40,blue,52,14,4,10,0,36,22,10,4,2,2,0,0,0,0,0
2024flwp,41,red,28,4,4,0,0,14,14,0,0,3,3,0,0,7,2,5
2024flwp,41,blue,35,12,2,10,0,14,14,0,0,7,7,0,0,2,2,0
2024flwp,42,red,50,22,2,20,0,24,24,0,0,4,4,0,0,0,0,0
2024flwp,42,blue,37,14,4,10,0,19,4,10,5,2,2,0,0,2,2,0
2024flwp,43,red,51,7,2,5,0,38,12,20,6,6,6,0,0,0,0,0
2024flwp,43,blue,53,12,2,10,0,34,34,0,0,2,2,0,0,5,0,5
2024flwp,44,red,29,14,4,10,0,13,12,0,1,2,2,0,0,0,0,0
2024flwp,44,blue,28,4,4,0,0,15,4,5,6,4,4,0,0,5,0,5
2024flwp,45,red,62,24,4,20,0,18,18,0,0,10,5,5,0,10,0,10
2024flwp,45,blue,23,12,2,10,0,7,6,0,1,2,2,0,0,2,2,0
2024flwp,46,red,41,19,4,15,0,15,0,10,5,5,5,0,0,2,2,0
2024flwp,46,blue,73,24,4,20,0,40,8,25,7,9,9,0,0,0,0,0
2024flwp,47,red,29,9,4,5,0,14,12,0,2,2,2,0,0,4,4,0
2024flwp,47,blue,38,5,0,5,0,28,28,0,0,5,5,0,0,0,0,0
2024flwp,48,red,29,2,2,0,0,15,0,10,5,7,7,0,0,5,0,5
2024flwp,48,blue,44,12,2,10,0,23,12,5,6,4,4,0,0,5,0,5
2024flwp,49,red,36,4,4,0,0,25,24,0,1,7,7,0,0,0,0,0
2024flwp,49,blue,58,29,4,25,0,20,10,5,5,5,5,0,0,4,4,0
2024flwp,50,red,74,41,6,35,0,21,12,5,4,7,7,0,0,5,0,5
2024flwp,50,blue,48,19,4,15,0,27,26,0,1,2,2,0,0,0,0,0
2024flwp,51,red,11,5,0,5,0,4,4,0,0,2,2,0,0,0,0,0
2024flwp,51,blue,12,6,6,0,0,3,0,0,3,3,3,0,0,0,0,0
2024flwp,52,red,41,17,2,15,0,22,22,0,0,2,2,0,0,0,0,0
2024flwp,52,blue,51,10,0,10,0,39,8,25,6,2,2,0,0,0,0,0
2024flwp,53,red,27,7,2,5,0,18,18,0,0,2,2,0,0,0,0,0
2024flwp,53,blue,41,9,4,5,0,12,2,5,5,5,5,0,0,15,0,15
2024flwp,54,red,74,29,4,25,0,29,26,0,3,14,9,5,0,2,2,0
2024flwp,54,blue,37,12,2,10,0,21,14,5,2,4,4,0,0,0,0,0
2024flwp,55,red,56,22,2,20,0,24,10,10,4,3,3,0,0,7,2,5
2024flwp,55,blue,62,34,4,30,0,23,8,10,5,5,5,0,0,0,0,0
2024flwp,56,red,26,7,2,5,0,14,4,5,5,3,3,0,0,2,2,0
2024flwp,56,blue,63,17,2,15,0,45,8,30,7,1,1,0,0,0,0,0
2024flwp,57,red,56,16,6,10,0,38,38,0,0,2,2,0,0,0,0,0
2024flwp,57,blue,26,9,4,5,0,12,12,0,0,5,5,0,0,0,0,0
2024flwp,58,red,51,24,4,20,0,11,10,0,1,6,6,0,0,10,0,10
2024flwp,58,blue,20,2,2,0,0,16,8,5,3,2,2,0,0,0,0,0
2024flwp,59,red,48,12,2,10,0,28,16,10,2,3,3,0,0,5,0,5
2024flwp,59,blue,52,16,6,10,0,27,14,10,3,2,2,0,0,7,2,5
2024flwp,60,red,28,12,2,10,0,9,8,0,1,7,7,0,0,0,0,0
2024flwp,60,blue,37,16,6,10,0,15,14,0,1,6,6,0,0,0,0,0
2024flwp,61,red,34,5,0,5,0,24,24,0,0,5,5,0,0,0,0,0
2024flwp,61,blue,83,24,4,20,0,42,10,25,7,7,7,0,0,10,0,10
2024flwp,62,red,52,21,6,15,0,26,10,10,6,5,5,0,0,0,0,0
2024flwp,62,blue,32,9,4,5,0,14,14,0,0,4,4,0,0,5,0,5
2024flwp,63,red,62,19,4,15,0,37,12,20,5,1,1,0,0,5,0,5
2024flwp,63,blue,50,12,2,10,0,37,12,20,5,1,1,0,0,0,0,0
2024flwp,64,red,40,5,0,5,0,19,8,5,6,4,4,0,0,12,2,10
2024flwp,64,blue,33,9,4,5,0,16,16,0,0,3,3,0,0,5,0,5
2024flwp,65,red,43,27,2,25,0,10,10,0,0,6,6,0,0,0,0,0
2024flwp,65,blue,62,24,4,20,0,21,14,5,2,12,7,5,0,5,0,5
2024flwp,66,red,11,4,4,0,0,0,0,0,0,7,7,0,0,0,0,0
2024flwp,66,blue,28,5,0,5,0,19,18,0,1,4,4,0,0,0,0,0
2024flwp,67,red,56,9,4,5,0,41,8,25,8,1,1,0,0,5,0,5
2024flwp,67,blue,29,7,2,5,0,19,18,0,1,1,1,0,0,2,2,0
2024flwp,68,red,55,24,4,20,0,26,24,0,2,5,5,0,0,0,0,0
2024flwp,68,blue,29,2,2,0,0,24,24,0,0,3,3,0,0,0,0,0
2024flwp,69,red,37,9,4,5,0,24,16,5,3,4,4,0,0,0,0,0
2024flwp,69,blue,76,29,4,25,0,33,12,15,6,14,9,5,0,0,0,0
2024flwp,70,red,36,11,6,5,0,18,14,0,4,7,7,0,0,0,0,0
2024flwp,70,blue,33,10,0,10,0,18,18,0,0,5,5,0,0,0,0,0
2024flwp,71,red,57,29,4,25,0,25,8,10,7,3,3,0,0,0,0,0
2024flwp,71,blue,13,0,0,0,0,12,12,0,0,1,1,0,0,0,0,0
2024flwp,72,red,21,2,2,0,0,6,6,0,0,3,3,0,0,10,0,10
2024flwp,72,blue,53,24,4,20,0,22,14,5,3,2,2,0,0,5,0,5
2024flwp,73,red,36,9,4,5,0,18,10,5,3,9,9,0,0,0,0,0
2024flwp,73,blue,39,4,4,0,0,28,28,0,0,2,2,0,0,5,0,5
2024flwp,74,red,23,7,2,5,0,14,12,0,2,2,2,0,0,0,0,0
2024flwp,74,blue,31,4,4,0,0,22,4,10,8,5,5,0,0,0,0,0
2024flwp,75,red,49,19,4,15,0,14,14,0,0,6,6,0,0,10,0,10
2024flwp,75,blue,74,27,2,25,0,44,14,25,5,3,3,0,0,0,0,0
2024flwp,76,red,52,12,2,10,0,23,8,10,5,7,7,0,0,10,0,10
2024flwp,76,blue,69,24,4,20,0,29,20,5,4,11,9,0,2,5,0,5
2024flwp,77,red,43,26,6,20,0,12,6,0,6,5,5,0,0,0,0,0
2024flwp,77,blue,30,17,2,15,0,7,0,0,7,6,6,0,0,0,0,0
2024flwp,78,red,43,9,4,5,0,29,28,0,1,5,5,0,0,0,0,0
2024flwp,78,blue,64,24,4,20,0,25,24,0,1,15,10,5,0,0,0,0
